序号,省份,地市,区县,生产经营场所地址,污水处理厂名称,运营单位,排污许可证编号,"设计处理能力
（万吨/日）","2019年实际处理
水量（万吨）"
4037,山东省,威海市,荣成市,"人和镇齐山河下游
二道港村西500米",人和污水处理站,"荣成市水务集团有
限公司乡镇污水分
公司",913710823130454298001U,0.5,150
4038,山东省,威海市,荣成市,"港湾街道石岛海洋
高新产业园邢家嘴
村东北150米","荣成崇杰污水处理
有限公司","荣成崇杰污水处理
有限公司",9137108209510395XM001Q,2,240
4039,山东省,威海市,荣成市,富耕路东首,"荣成市第二污水处
理厂","荣成市第二污水处
理厂",91371082689492243D002U,4,1000
4040,山东省,威海市,荣成市,荷田东路东首,"荣成市第一污水处
理厂","荣成市第一污水处
理厂",91371082689492243D001Q,4,1117.25
4041,山东省,威海市,荣成市,"滕家镇荣成市三十
二中学南150米",滕家污水处理站,"荣成市水务集团有
限公司乡镇污水分
公司",913710823130454298003R,0.08,4
4042,山东省,威海市,荣成市,"王连街道办事处东
345米",王连污水处理站,"济南清涟晴朗科技
荣成分公司",11370182004339386N001U,0.1,32
4043,山东省,威海市,荣成市,"石岛管理区海景西
路兴达塑料制品公
司北侧","荣成鑫海环亚环境
科技有限公司","荣成鑫海环亚环境
科技有限公司",913710820629911375001U,4,1100
4044,山东省,威海市,荣成市,"寻山街道食品工业
区南端","荣成寻山污水处理
站","荣成市水务集团有
限公司乡镇污水分
公司",913710823130454298002R,0.1,32
4045,山东省,威海市,荣成市,"石岛管理区、八河水
库东南侧、东山北路
东南侧","荣成市八河污水处
理厂","荣成颐晨污水处理
有限公司",91371082MA3C0YWY8X001U,4,700
4046,山东省,威海市,乳山市,"城区街道办事处夏
西村西环路中段","乳山康达水务有限
公司（二厂）","乳山康达水务有限
公司二厂",91371083584504033G002Y,2,717.48
4047,山东省,威海市,乳山市,"城区街道办事处夏
西村崔家村西200
米","乳山康达水务有限
公司（一厂）","乳山康达水务有限
公司一厂",91371083584504033G001X,4,881.03
4048,山东省,威海市,乳山市,"白沙滩镇翁家埠村
北200米","乳山毅科水环境治
理有限公司（乳山银
滩第一污水处理厂）","乳山毅科水环境治
理有限公司",91371083MA3CDW7B6H001R,4,1095
4049,山东省,威海市,文登区,"大水泊镇大水泊村
机场路西","威海市文登区大水
泊镇污水处理厂","威海市文登区大水
泊镇人民政府",1137100300436520XW001Q,0.2,10.95
4050,山东省,威海市,"高新技术
产业开发
区",初村职业学院北,"威海水务投资有限
责任公司初村污水
处理厂","威海水务投资有限
责任公司",91371000080896598M001X,2,727.86
4051,山东省,威海市,"高新技术
产业开发
区",营口路6号,"威海水务投资有限
责任公司高区污水
处理厂","威海水务投资有限
责任公司高区污水
处理厂",91371000080896598M002Q,8,2321.69
4052,山东省,威海市,"经济技术
开发区","崮山镇皂埠村南九
龙路东","威海水务投资有限
责任公司崮山污水
处理厂","威海水务投资有限
责任公司崮山污水
处理厂",91371000080896598M004R,1,226.36
4053,山东省,威海市,文登区,环山办环兴路1号,"文登创业水务有限
公司","文登创业水务有限
公司",91371081661386940A001Y,8,2617.57
4054,山东省,威海市,南海新区,"小观镇滨海路南、寺
五线西","文登康达环保水务
有限公司","文登康达环保水务
有限公司",91371081698079282L001R,2.5,85.2
4055,山东省,威海市,乳山市,"徐家镇东南塂村东
100米","乳山毅科水环境治
理有限公司","银滩第二污水处理
厂",91371083MA3CDW7B6H002R,2,134.7
4056,山东省,日照市,莒县,"经济开发区山东路
以东、东营路以南","莒县城北污水处理
厂","光大水务（莒县）有
限公司城北厂",91371100336383199R002R,6,2285.91
4057,山东省,日照市,莒县,"沭东新区南侧东城
三路以西岚山路以
北","莒县沭东污水处理
厂","光大水务（莒县）有
限公司沭东厂",91371100336383199R001R,2,296.99
4058,山东省,日照市,莒县,城区山东南路东侧,"莒县光水水务有限
公司","莒县光大水务有限
公司",91371100MA3QYAF04U001R,8,2664.67
4059,山东省,日照市,莒县,"夏庄镇驻地马沟河
华意桥东侧","莒县第二污水处理
厂","莒县第二污水处理
厂",9137112258043332XF001Z,2,340.76
4060,山东省,日照市,莒县,"刘官庄镇刘官庄社
区柳河村东100米","莒县刘官庄污水处
理厂","莒县刘官庄污水处
理厂",91371122493744752M001W,1,31.15
4061,山东省,日照市,东港区,"涛雒镇小海村以西，
王家村以南","日照国际海洋城污
水处理厂","日照国际海洋城污
水处理厂",9137110209246109X5001W,1,7
4062,山东省,日照市,五莲县,"日照市北经济开发
区东潮河村村西600
米","日照市北经济开发
区净源污水处理厂","日照市北经济开发
区净源污水处理有
限公司",913711210817948098001R,1,134
4063,山东省,日照市,岚山区,"安东卫街道荻水村
南500米","日照市岚山云通水
务有限公司","日照市岚山云通水
务有限公司",9137110066018612X4001U,4,1175.59
4064,山东省,日照市,东港区,枣庄路229号,"日照市水务集团污
水处理有限公司大
学城污水处理厂","日照市水务集团污
水处理有限公司
日照市水务集团污
水处理有限公司
日照市水务集团污
水处理有限公司",91371100MA3C05PA8L002W,1,324
4065,山东省,日照市,开发区,上海路166号,"日照市水务集团污
水处理有限公司第
二污水处理厂",,91371100MA3C05PA8L001Y,6,1900
4066,山东省,日照市,东港区,"张郭新村以南、沙墩
河以北","日照市水务集团污
水处理有限公司第
三污水处理厂",,91371100MA3C05PA8L008V,5,1286
4067,山东省,日照市,开发区,北京路389号,"日照市水务集团污
水处理有限公司第
一污水处理厂","日照市水务集团污
水处理有限公司",91371100MA3C05PA8L005Z,5,1261.75
4068,山东省,日照市,东港区,"后楼河以北、香店河
以西","日照市水务集团污
水处理有限公司高
新区污水处理厂","日照市水务集团污
水处理有限公司",91371100MA3C05PA8L007Q,2,665.59
4069,山东省,日照市,开发区,"深圳西路以南、傅疃
河以西、厦门路以东","日照市水务集团污
水处理有限公司开
发区污水处理厂","日照市水务集团污
水处理有限公司",91371100MA3C05PA8L009U,5,1037.56
4070,山东省,日照市,岚山区,"珠海路北段，厦门路
以西、钢城大道以
南、化工大道以北","岚山化工园区污水
处理厂","日照市水务集团污
水处理有限公司岚
山化工园区污水处
理厂",91371100MA3C05PA8L010U,1,75
4071,山东省,日照市,东港区,"游泳馆以东、绿舟路
以南","日照市水务集团污
水处理有限公司绿
舟路污水处理厂","日照市水务集团污
水处理有限公司",91371100MA3C05PA8L003Z,0.6,182
4072,山东省,日照市,开发区,"厦门路西、郭家湖子
河以南、包头路北","日照市水务集团污
水处理有限公司厦
门路污水处理厂","日照市水务集团污
水处理有限公司",91371100MA3C05PA8L006V,1,361.74
4073,山东省,日照市,"山海天旅
游度假区","山海天路以西、太公
三路以南","日照市水务集团污
水处理有限公司山
海天污水处理厂","日照市水务集团污
水处理有限公司",91371100MA3C05PA8L004Y,0.8,126
4074,山东省,日照市,五莲县,"滨河路黄海大桥西
首","五莲北控水务有限
公司二厂","五莲北控水务有限
公司二厂",91371100MA3C7KYW4X001Q,3,669
4075,山东省,日照市,五莲县,"滨河路高泽大桥南
100米","五莲北控水务有限
公司三厂","五莲北控水务有限
公司三厂",91371100MA3C7KYW4X002Q,3,450
4076,山东省,日照市,五莲县,"于里镇驻政府东北
方向600米",于里镇污水处理厂,"五莲润清污水处理
有限公司于里镇污
水处理厂",91371121MA3D3XT13H001Q,0.25,13
4077,山东省,临沂市,费县,"费城街道马兴庄村
北50米","费县富翔污水处理
有限公司","费县富翔污水处理
有限公司",913713257961715097001Q,4,1100
4078,山东省,临沂市,费县,"探沂镇大探沂村北
450米","临沂首创博瑞水务
有限公司费县分公
司","临沂首创博瑞水务
有限公司费县分公
司",91371325MA3FD0B07W001X,1.5,200
4079,山东省,临沂市,兰山区,"枣园镇郑家庄村东
南2公里","金锣水务有限公司
柳青河污水处理厂","金锣水务有限公司
（兰山区柳青河污
水处理厂）",91371300782306337R001X,4,1267.98
4080,山东省,临沂市,沂南县,"界湖街道李家营村
南200米处路西","金锣水务有限公司
（沂南污水处理厂）","金锣水务有限公司
（沂南污水处理厂）",91371300782306337R002Z,4,1120.97
4081,山东省,临沂市,临沭县,"经济技术开发区沟
北村村东1000米","临沭县牛腿沟污水
处理厂","金锣水务有限公司
临沭分公司",91371329MA3ND65C0Q001W,2,418.02
4082,山东省,临沂市,莒南县,"坊前镇大峪崖村西
南侧20米","莒南嘉诚水质净化
有限公司","莒南嘉诚水质净化
有限公司",913713275830916365001Z,3,786.66
4083,山东省,临沂市,莒南县,"大店镇长安路西头
黄芦河北","莒南县大店镇黄芦
河污水处理厂","莒南县金旭环保科
技有限公司",91371327MA3CYGJY1D001R,1.5,109.5
4084,山东省,临沂市,莒南县,"岭泉镇孙家怪草村
555号","莒南卓澳水质净化
有限公司","莒南卓澳水质净化
有限公司",913713270673578135001Z,6,1436.52
4085,山东省,临沂市,兰山区,柳青河东路0001号,"北城新区污水处理
厂","康达环保（临沂）水
务有限公司",9137130266138518xm001W,4,1447.77
4086,山东省,临沂市,兰陵县,"南二环（新206国
道）与大崇山南路交
汇处向北100米路
西","兰陵首创水务有限
公司","兰陵首创水务有限
公司（兰陵县第二污
水处理厂）",9137132407301039X6001R,2,450
4087,山东省,临沂市,兰陵县,"卞庄街道代村村南
新天地游乐园东临
污水处理厂","兰陵县碧赢污水处
理有限公司","兰陵县碧赢污水处
理有限公司",91371324699680897H001R,4,1281
4088,山东省,临沂市,临沭县,"临沭街道前杨楼村
东首","临沭首创水务有限
公司","临沭首创水务有限
公司",91371329MA3R0M1T00001V,4,1577
4089,山东省,临沂市,高新区,"罗西办事处后黄土
堰村",高新区污水处理厂,"临沂北控水务有限
公司",91371300MA3DN45W4L001U,6,1598.98
4090,山东省,临沂市,河东区,"九曲街道办事处凤
凰大街中段","临沂港华水务有限
公司（河东区第一污
水处理厂）","临沂港华水务有限
公司（河东区第一污
水处理厂）",91371300793902505N001Z,3,1006.23
4091,山东省,临沂市,兰山区,"经济开发区鼎成工
业园西南角","临沂市兰山区南涑
河污水处理厂","临沂工业园区管理
委员会",12371302791547511R001R,0.5,57
4092,山东省,临沂市,罗庄区,"南外环与罗七路交
汇向西300米","临沂核瑞环保有限
公司","临沂核瑞环保有限
公司",9137131178078663XQ001V,5,2119.06
4093,山东省,临沂市,经济区,"梅埠办事处盛安居
委西1000米","临沂核新环保投资
有限公司","临沂核新环保投资
有限公司",9137130066672809XL001Z,6,2219.91
4094,山东省,临沂市,兰山区,"孝河路与长春路交
汇处向东1000米","临沂市兰山区柳青
河第二污水处理厂","临沂金山正润环保
工程有限公司",91371302MA3CA1NB7L001Q,2,500.28
4095,山东省,临沂市,"临港经济
开发区","坪上镇后野泉村东
南500米","临沂璟德水务有限
公司","临沂璟德水务有限
公司",913713000659194052001Q,2,322.68
4096,山东省,临沂市,"临港经济
开发区","壮岗镇焦庄社区（小
岭后村）东600米","临沂璟泽水务有限
公司","临沂璟泽水务有限
公司",91371300MA3MOEXC9E001U,2,39.82
4097,山东省,临沂市,兰山区,"工业大道与滨河大
道交汇","临沂市大学城污水
处理厂","临沂科创水处理有
限公司",9137130034454321XB001R,2.3,614.5
4098,山东省,临沂市,沂水县,"许家湖镇快堡村西
南1000米","临沂润达水务有限
公司","临沂润达水务有限
公司",91371323698083847X001Q,8,2919.5
4099,山东省,临沂市,沂水县,"湖埠西村西南500
米","临沂润泽水务有限
公司","临沂润泽水务有限
公司",9137132366442923X7001Z,8,3131.91
4100,山东省,临沂市,兰山区,"李官镇泉口村东南
700米","临沂市兰山区李官
镇污水处理厂","临沂市兰山区李官
镇污水处理厂",913713020757878210001V,0.5,138.6
4101,山东省,临沂市,兰山区,"义堂镇堰东村中央
大街与涑河交汇处","临沂市义堂污水处
理厂","临沂金奥环保工程
有限公司",913713020744342074001Y,1.5,546.79
4102,山东省,临沂市,河东区,"凤凰大街与龙山路
交汇处东南","临沂首创博瑞水务
有限公司（河东区第
一污水处理厂二期）","临沂首创博瑞水务
有限公司（河东区第
一污水处理厂二期）",91371300699693479K004V,3,541.85
4103,山东省,临沂市,罗庄区,"高都办事处小塘崖
村南外环与陷泥河
路交汇往东300米
路南","临沂首创博瑞水务
有限公司（临沂市第
二污水处理厂）","临沂首创博瑞水务
有限公司（临沂市第
二污水处理厂）",91371300699693479K001W,10,3702.41
4104,山东省,临沂市,河东区,郑旺镇驻地西南,"临沂首创博瑞水务
有限公司（郑旺镇污
水处理厂）","临沂首创博瑞水务
有限公司（郑旺镇污
水处理厂）",91371300699693479K002Y,0.3,7.12
4105,山东省,临沂市,罗庄区,"付庄街道办事处西
三冲村南二级路与
南涑河交汇向北690
米路西","临沂首创博瑞水务
有限公司罗庄分公
司（罗庄区第二污水
处理厂）","临沂首创博瑞水务
有限公司罗庄分公
司（罗庄区第二污水
处理厂）",97371311MA3PBWYQ15001V,8,1211.27
4106,山东省,临沂市,兰山区,"通达路与兰山路交
汇往东200米",青龙河净水厂,"临沂首创环保发展
有限公司（青龙河净
水厂）",91371302MA3C7J003K001X,3,1109.85
4107,山东省,临沂市,兰山区,清河南路802号,"临沂市第一污水处
理厂","临沂首创水务有限
公司",91371300789295474H001R,15,5559.81
4108,山东省,临沂市,蒙阴县,"经济开发区太保庄
南500米","蒙阴盛科污水处理
有限公司","蒙阴盛科污水处理
有限公司",91371328787177167B001V,7,1887
4109,山东省,临沂市,蒙阴县,"垛庄镇孟良崮工业
园区和谐路与山深
线交汇处东北","蒙阴县垛庄污水处
理厂","蒙阴县蒙泰水务有
限责任公司",91371328MA3M4U6X4D001Q,3,11.32
4110,山东省,临沂市,平邑县,"地方镇驻地响水沟
下游","平邑县第二污水处
理厂","平邑县第二污水处
理厂",91371326562519381R001Q,3,1000
4111,山东省,临沂市,平邑县,"平邑街道东张庄村
往东100米","平邑县东城污水处
理厂","平邑县东城污水处
理厂",91371326061961358L001V,6,2100
4112,山东省,临沂市,郯城县,"经济开发区南部双
泰路与兴郯路交汇
处","郯城经济开发区污
水处理厂","郯城首创水务有限
公司",91371322592627498E001W,2,557.98
4113,山东省,临沂市,郯城县,"新村银杏产业开发
区地矿路东侧银杏
路南侧","郯城新村银杏产业
开发区污水处理厂","郯城首创水务有限
公司",91371322312744068R001Q,0.2,23.14
4114,山东省,临沂市,郯城县,"李墨干渠与南外环
路交汇处",郯城县污水处理厂,"郯城首创水务有限
公司",9137132276366151X7001W,4,1451.82
4115,山东省,临沂市,沂南县,"经济开发区开元路
10号","沂南首创水务有限
公司（沂南县第二污
水处理厂）","沂南首创水务有限
公司（沂南县第二污
水处理厂）",913713215913817999001X,2,469.16
4116,山东省,临沂市,沂南县,"大庄镇驻地、双丰路
与G233国道交汇处
东600米路南","沂南县大庄华龙污
水处理有限公司","沂南县大庄华龙污
水处理有限公司",91371321067394438J001U,1,135.9
4117,山东省,德州市,"经济技术
开发区","高铁新区北部中傲
大街北首东侧，北外
环路与纬一路之间","德州北源水务技术
管理有限公司","德州北源水务技术
管理有限公司",91371400083995305A001W,2,732.84
4118,山东省,德州市,"经济技术
开发区","晶华大道北侧，后董
村以西","德州诺然污水处理
有限公司","德州诺然污水处理
有限公司",913714000839953135001X,4,867.36
4119,山东省,德州市,"经济技术
开发区","晶华路南首（小翟庄
北）","德州尚德污水处理
有限公司","德州尚德污水处理
有限公司",91371400092841658F001Z,1.9,524.95
4120,山东省,德州市,德城区,"新华工业园，横河以
北，张八棍村以南","德州太阳岛污水处
理有限公司","德州太阳岛污水处
理有限公司",91371400052366936N001U,1.5,9.71
4121,山东省,德州市,德城区,"天衢工业园实华南
路东","德州卓澳水质净化
有限公司","德州卓澳水质净化
有限公司",91371400683211746F001V,2.5,804
4122,山东省,德州市,德城区,"二屯镇二屯镇杨二
路北","德州市南运河污水
处理厂","光大水务（德州）有
限公司",913714005887823995001V,17,2746.61
4123,山东省,德州市,陵城区,"边临镇聚源路西首
路北","光大水务（陵县）有
限公司二厂","光大水务（陵县）有
限公司二厂",9137140069807369XY002Z,3,1277.5
4124,山东省,德州市,陵城区,"临齐街道办事处蔺
庄村西南邻","光大水务（陵县）有
限公司一厂","光大水务（陵县）有
限公司一厂",9137140069807369XY001W,3,1095
4125,山东省,德州市,"经济技术
开发区",晶华路北首路西,"国电银河水务（德
州）有限公司","国电银河水务（德
州）有限公司",91371400680686578F001X,4,1075.66
4126,山东省,德州市,乐陵市,"循环经济示范园园
区五路北侧","乐陵碧水源水务运
营有限公司","乐陵碧水源水务运
营有限公司",913714813489915463001U,1,103.46
4127,山东省,德州市,乐陵市,"文昌西路与创业大
道交叉口西南侧","乐陵市西部新区污
水处理厂","乐陵水务环保有限
公司（乐陵市西部新
区污水处理厂）",91371481MA3PULGAXH001Q,2,373.57
4128,山东省,德州市,乐陵市,跃马河东路1号,乐陵市污水处理厂,"乐陵水务环保有限
公司乐陵市污水处
理厂",91371481MA3PULGAXH002V,4,1354.47
4129,山东省,德州市,临邑县,"德平镇315省道西
侧，教场村南100米","临邑县德平镇污水
处理厂",临邑县德平镇政府,91371424599291229W001R,0.2,51
4130,山东省,德州市,临邑县,"开元大街南侧、临武
路以东、后仓村南
100米","临邑县临盘污水处
理厂","临邑县住房和城乡
建设局",91371424746576890G001Z,4,913
4131,山东省,德州市,临邑县,"东岳路北首、梨行村
北100米",临邑县污水处理厂,"临邑县住房和城乡
建设局",91371424746576890G002R,4,1063
4132,山东省,德州市,宁津县,"北环路东首北侧,振
华大街以北，污水处
理厂西侧","宁津县污水处理厂
三期工程","宁津北控水质净化
有限公司",913714223489030083001Y,2,596.74
4133,山东省,德州市,宁津县,"振华大街东首拐角
处北侧200米",宁津县污水处理厂,"宁津县嘉诚水质净
化有限公司",91371400795308972Q001X,5,791.24
4134,山东省,德州市,平原县,"恩城镇北站村西200
米","平原县恩城污水处
理厂","平原县恩城污水处
理厂",91371426MA3EP6PD3U001Y,0.3,37
4135,山东省,德州市,平原县,"前曹镇前曹村北700
米","平原县前曹污水处
理厂","平原县前曹污水处
理厂",91371426313059599B001R,0.3,29
4136,山东省,德州市,平原县,"经济开发区民生北
路东首",平原县污水处理厂,平原县污水处理厂,91371426684843534X001X,6,1677
4137,山东省,德州市,齐河县,"表白寺镇潘庄南500
米处","齐河县表白寺镇污
水处理厂","齐河森淼环保工程
有限公司",91371425MA3C6XNF5D001Q,0.2,50
4138,山东省,德州市,齐河县,"祝阿镇内，京沪铁路
以东、国道309以
北、北展堤以南","齐河黄河国际生态
城污水处理厂","齐河水务发展有限
公司",913714253284651862002Q,1,109.78
4139,山东省,德州市,齐河县,"华店镇国道308以
南，青年路以西","齐河县华店镇污水
处理厂","齐河水务发展有限
公司",913714253284651862001V,0.1,29
4140,山东省,德州市,齐河县,迎宾北路路东20米,"齐河县惠民水质净
化厂及扩建项目","齐河县惠民水质净
化厂",913714257445365372001R,4,837.87
4141,山东省,德州市,齐河县,"经济开发区西魏村
北500米","齐河县益民污水处
理有限公司","齐河县益民污水处
理有限公司",91371425MA3DP0FKXQ001R,0.09,9.48
4142,山东省,德州市,庆云县,"经济开发区将军路
以北、东岳大街以西","庆云县纯源水务有
限公司","庆云县纯源水务有
限公司",91371423MA3HJKGE2M001W,2,0.6
4143,山东省,德州市,庆云县,东环路818号,"庆云县康泉污水处
理有限公司","庆云县康泉污水处
理有限公司",91371423661398036K001X,4,3.5
4144,山东省,德州市,德城区,果园路2号,"上实环境（德州）污
水处理有限公司","上实环境（德州）污
水处理有限公司",91371400793900833B001R,10,2137
4145,山东省,德州市,武城县,"运河经济开发区德
商路路西东刘庄村
西800米","武城县水发环保有
限公司","武城县水发环保有
限公司",91371428MA3MX1QG1P001U,3,1052.83
4146,山东省,德州市,夏津县,"东环路与胜利路交
汇处西北侧","夏津宏泰嘉诚水务
有限公司","夏津宏泰嘉诚水务
有限公司",913714006980715712001X,4,1441
4147,山东省,德州市,夏津县,"经济开发区步云街
西首","夏津县中环水务有
限公司","夏津县中环水务有
限公司",91371427MA3C7Q1B9Y001Q,2,295
4148,山东省,德州市,齐河县,"省道101与308公铁
立交桥交汇处西北
侧","齐河县城西污水处
理厂","银河环保（齐河）有
限公司",91371425081773207J001R,2,699.86
4149,山东省,德州市,禹城市,"市中街道办事处东
街史张营村东300
米","禹城东郊城建污水
处理有限公司","禹城东郊城建污水
处理有限公司",913714825667154350001W,6,2045.58
4150,山东省,德州市,禹城市,"十里望回族镇后高
村北200米","禹城市城西污水处
理厂","禹城市润禹水务有
限公司（禹城市城西
污水处理厂）",91371482167572561Q002X,1.5,488.76
4151,山东省,德州市,禹城市,"建设路北首建设路
桥西20米",禹城市污水处理厂,"禹城市润禹水务有
限公司（禹城市污水
处理厂）",91371482167572561Q001V,5,1686.42
4152,山东省,聊城市,经开区,"牡丹江路北泰山路
西","碧水蓝天（聊城）水
处理有限公司","碧水蓝天（聊城）水
处理有限公司",91371500071319457H001Q,3,977.68
4153,山东省,聊城市,茌平县,"菜屯镇林场村与杨
清路交叉口西南角","茌平区菜屯镇污水
处理厂","茌平区菜屯镇污水
处理厂",11371523004436186k003R,0.08,12
4154,山东省,聊城市,茌平县,"博平镇临博路以南，
徒骇河以西交汇处","茌平县博平镇污水
处理厂","茌平区博平镇污水
处理厂",1137152300443640XK001R,0.08,22
4155,山东省,聊城市,茌平县,"乐平铺镇茌郝路以
北1公里、赵牛河西
岸","茌平县乐平铺镇污
水处理厂","茌平区乐平铺镇污
水处理厂",91371523349148534E001Q,1.5,177.67
4156,山东省,聊城市,茌平县,"茌冯公路西（豆张
北），北环路1420号",茌平县污水处理厂,茌平区污水处理厂,913715237582967579001Q,4,1181.86
4157,山东省,聊城市,茌平县,"肖家庄镇蒋庄村西
800米","茌平县肖家庄镇污
水处理厂","茌平区肖家庄镇人
民政府",HB3715003000014931001R,0.15,5.5
4158,山东省,聊城市,东阿县,"经济开发区香江路
与长江路交叉口向
北700米路西","东阿县康达水务有
限公司","东阿县康达水务有
限公司",91371524328384255X001V,2,613.06
4159,山东省,聊城市,东阿县,"城区北外环路官路
沟东侧",东阿县污水处理厂,东阿县污水处理厂,913715244943849984001Y,4,1331.78
4160,山东省,聊城市,高唐县,"管道街北首路西，官
道街与S316交叉路
口往南200米路西",高唐县污水处理厂,高唐县污水处理厂,91371526745679687X001V,8,1972.54
4161,山东省,聊城市,高唐县,"人和办事处105国
道路北王庄村西500
米","高唐泽泉污水处理
有限公司","高唐泽泉污水处理
有限公司",91371526493484508D001X,5,1362.78
4162,山东省,聊城市,冠县,柳林镇东街39号,柳林镇污水处理厂,"冠县冰华水质净化
有限公司",91371525349146141X001V,0.5,25
4163,山东省,聊城市,冠县,"店子镇岳阳路以北
与庆丰渠以东交叉
处",店子镇污水处理厂,"冠县店子镇人民政
府",11371525004316459M001U,0.5,4.5
4164,山东省,聊城市,冠县,"清水镇北环路与临
冠路交叉路口西北
侧","冠县清水镇污水处
理厂","冠县清水镇人民政
府",11371525004316555Y001Q,0.25,9
4165,山东省,聊城市,高新区,长江路南四新河东,"聊城高新国环污水
处理有限公司","聊城高新国环污水
处理有限公司",91371500MA3BYYGM2L001X,3,314.53
4166,山东省,聊城市,东昌府区,"嘉明经济开发区聊
临路以西西新河以
东","聊城嘉明康达污水
处理有限公司","聊城嘉明康达污水
处理有限公司",91371500494227781X001Y,2,621.56
4167,山东省,聊城市,东昌府区,"凤凰工业园纬二路
东首路北","聊城市城南污水处
理厂","聊城市城南污水处
理有限公司",91371500MA3C8TYH18001X,7,1015.99
4168,山东省,聊城市,茌平县,"冯官屯镇前张社区
北20米","冯官屯镇前张社区
污水处理厂","茌平区冯官屯镇人
民政府",11371523004436426E001R,0.1,3.65
4169,山东省,聊城市,东昌府区,"凤凰工业园王堂村
北300米","聊城市润河污水处
理厂","聊城市国环污水处
理有限公司",9137150059520612X7001V,3,460.74
4170,山东省,聊城市,东昌府区,"沙镇驻地以北、聊莘
路以西、前刘支北","聊城市沙镇污水处
理厂","聊城市清山环保科
技有限责任公司",91371502MA3N83MX5E001U,1,36.5
4171,山东省,聊城市,经开区,"东环路东徒骇河北，
开发区北城街道绳
张村南1.7公里","聊城市水务污水处
理有限公司","聊城市水务污水处
理有限公司",9137150074336055XN001Y,10,3214.75
4172,山东省,聊城市,临清市,"红旗渠街和兴临路
交叉口东南","临清市碧海国环污
水处理有限公司","临清市碧海国环污
水处理有限公司",91371581MA3EKG0P2K001Y,4,1167.78
4173,山东省,聊城市,临清市,"先锋办事处唐窑三
和路与银河路路口
往北600米路西","临清市碧水水质净
化有限公司","临清市碧水水质净
化有限公司",913715814951858861001U,6,1832.1
4174,山东省,聊城市,临清市,"烟店镇315省道新
汽车站路西500米","临清市宏大污水处
理有限公司","临清市宏大污水处
理有限公司",91371581MA3PWK8A7M001V,0.16,32.85
4175,山东省,聊城市,临清市,"先锋办事处唐窑三
和路与银河路路口
往北600米路西","临清市康达污水处
理有限公司","临清市康达污水处
理有限公司",913715813128707182001U,4,1317.27
4176,山东省,聊城市,临清市,"康庄镇康一街村北
800米路西","临清市康润污水处
理有限公司","临清市康润污水处
理有限公司",91371581MA3Q087E7E001V,0.23,36
4177,山东省,聊城市,冠县,"清泉街道办事处东
三里庄南东环路东
侧","山东冠县嘉诚水质
净化有限公司","山东冠县嘉诚水质
净化有限公司",91371500669308218R001X,8,2422.96
4178,山东省,聊城市,冠县,"定远寨镇政府驻地
省道329以南，马颊
河以西","山东日月通环保科
技有限公司","山东日月通环保科
技有限公司",91371525588786795Q001V,0.5,109.5
4179,山东省,聊城市,莘县,"朝城镇武阳路001
号","莘县朝城污水处理
厂","莘县朝城污水处理
厂",91371522074445301F001Z,2,517
4180,山东省,聊城市,莘县,"莘亭办事处鸿图街
36号",莘县污水处理厂,"莘县康达水务有限
公司",91371522076980957D001Q,4,1423.5
4181,山东省,聊城市,莘县,"古云镇三厂大院北
50米","莘县第二污水处理
厂","山东众泰中乾环保
科技有限公司",91371522689465261L001X,2,438
4182,山东省,聊城市,莘县,"大张家镇陈庄村东
路北","莘县浙商污水集中
处理厂","莘县浙商污水集中
处理厂（普通合伙）",91371522MA3D3NQP3D001U,0.15,10.95
4183,山东省,聊城市,阳谷县,"侨润办事处南北一
路东一号","阳谷县碧海国环污
水处理有限公司","阳谷县碧海国环污
水处理有限公司",91371521MA3EK98W1K001X,1,52.36
4184,山东省,聊城市,阳谷县,"祥光经济开发区光
明大道与金桥路交
叉口北500米","阳谷县第二污水处
理厂","阳谷县第二污水处
理厂",913715215589461885001Z,1.6,324
4185,山东省,聊城市,阳谷县,"黄河路西首路北（狮
子楼办事处）","阳谷县国环污水处
理有限公司","阳谷县国环污水处
理有限公司",91371521050903670Q001V,8,1743
4186,山东省,聊城市,经开区,黑龙江路1号,"优艺（聊城）水处理
有限公司","优艺（聊城）水处理
有限公司",91371500669324613K001Z,3,1059
4187,山东省,滨州市,"北海经济
开发区","北海二路与东港四
路交叉口","滨州北海新区起步
区污水处理厂","滨州滨海环保有限
公司",91371600599257733M001Z,3,476.04
4188,山东省,滨州市,滨城区,"黄河八路渤海二路
交叉口东南角","滨化集团股份有限
公司工业水运营中
心","山东昱泰环保工程
有限公司",91370000166926751k001Q,6.96,1532.44
4189,山东省,滨州市,滨城区,"滨北街道办事处梧
桐七路以北、凤凰八
路以东",北城污水处理厂,"滨州市深港环保工
程技术有限公司",91371602674539416P001R,6,1564
4190,山东省,滨州市,滨城区,"市东办事处黄河十
四路东首","葛洲坝水务（滨州）
有限公司","葛洲坝水务（滨州）
有限公司",913716007973464382001Q,11,4386.57
4191,山东省,滨州市,博兴县,店子镇工业园66,"滨州巴安锐创水务
有限公司","滨州巴安锐创水务
有限公司",91371625MA3C761E9D001Z,1,80
4192,山东省,滨州市,博兴县,湖滨镇寨卢村东北,"博兴湖滨嘉诚水质
净化有限公司","博兴湖滨嘉诚水质
净化有限公司",91371600588767308P001U,3,586
